PROJECT_NAME,2ChillerProgram111020
VERSION_OF_REFERENCEFILE,1.0
TIMESTAMP_OF_LAST_CHANGE,1/5/2021 3:14:53 PM
AUTHOR_OF_LAST_CHANGE,micha
VERSION_OF_LAYOUT,2.1
#keyname,device-object-instance,object-name,object-type,object-instance,description,present-value-default,min-present-value,max-present-value,commandable,supports-COV,hi-limit,low-limit,state-text-reference,unit-code,vendor-specific-address,program-object-instance
2ChillerProgram111020_MinChillerOffTime,55151,MinChillerOffTime,2,16,,5.0,,,Y,Y,,,,72,,
2ChillerProgram111020_ChillerStagerPropBand,55151,ChillerStagerPropBand,2,17,,4.0,,,Y,Y,,,,72,,
2ChillerProgram111020_ChillerStagerIntTime,55151,ChillerStagerIntTime,2,18,,600.0,,,Y,Y,,,,73,,
2ChillerProgram111020_ChillerRampTime,55151,ChillerRampTime,2,19,,500.0,,,Y,Y,,,,73,,
2ChillerProgram111020_Tower1Fan1Alarm,55151,Tower1Fan1Alarm,5,12,,False,,,Y,Y,,,6,,,
2ChillerProgram111020_Tower2FanAlarm,55151,Tower2FanAlarm,5,13,,False,,,Y,Y,,,6,,,
2ChillerProgram111020_PidLoop2,55151,Pid Loop 2,12,2,,,,,N,Y,,,,98,,
2ChillerProgram111020_TowerStagerPropBand,55151,TowerStagerPropBand,2,20,,4.0,,,Y,Y,,,,95,,
2ChillerProgram111020_TowerStagerIntTime,55151,TowerStagerIntTime,2,21,,600.0,,,Y,Y,,,,73,,
2ChillerProgram111020_TowerRampTime,55151,TowerRampTime,2,22,,500.0,,,Y,Y,,,,73,,
2ChillerProgram111020_OutsideAir,55151,OutsideAir,2,23,,85.0,,,Y,Y,,,,64,,
2ChillerProgram111020_PumpStopDelay,55151,PumpStopDelay,2,24,,10.0,,,Y,Y,,,,73,,
2ChillerProgram111020_CHWPump1AlarmReset,55151,CHWPump1AlarmReset,5,14,,False,,,Y,Y,,,3,,,
2ChillerProgram111020_FreezeProtection,55151,FreezeProtection,5,15,,False,,,Y,Y,,,3,,,
2ChillerProgram111020_CHWPump2AlarmReset,55151,CHWPump2AlarmReset,5,16,,False,,,Y,Y,,,3,,,
2ChillerProgram111020_CWPump1AlarmReset,55151,CWPump1AlarmReset,5,17,,False,,,Y,Y,,,3,,,
2ChillerProgram111020_CWPump2AlarmReset,55151,CWPump2AlarmReset,5,18,,False,,,Y,Y,,,3,,,
2ChillerProgram111020_Tower1FanAlarmReset,55151,Tower1FanAlarmReset,5,19,,False,,,Y,Y,,,3,,,
2ChillerProgram111020_TowerFan2AlarmReset,55151,TowerFan2AlarmReset,5,20,,False,,,Y,Y,,,3,,,
2ChillerProgram111020_OutsideHumidity,55151,OutsideHumidity,2,25,,50.0,,,Y,Y,,,,98,,
2ChillerProgram111020_Chiller1AlarmReset,55151,Chiller1AlarmReset,5,21,,False,,,Y,Y,,,3,,,
2ChillerProgram111020_Chiller1Alarm,55151,Chiller1Alarm,5,22,,False,,,Y,Y,,,6,,,
2ChillerProgram111020_Chiller2AlarmReset,55151,Chiller2AlarmReset,5,23,,False,,,Y,Y,,,3,,,
2ChillerProgram111020_Chiller2Alarm,55151,Chiller2Alarm,5,24,,False,,,Y,Y,,,6,,,
2ChillerProgram111020_Tower2FanAlarmReset,55151,Tower2FanAlarmReset,5,25,,False,,,Y,Y,,,3,,,
2ChillerProgram111020_Tower1Fan2Alarm,55151,Tower1Fan2Alarm,5,26,,False,,,Y,Y,,,6,,,
2ChillerProgram111020_DewPoint,55151,DewPoint,2,26,,0.0,,,Y,Y,,,,64,,
2ChillerProgram111020_ChillerSelect,55151,ChillerSelect,19,1,,1,,,Y,Y,,,7,,,
2ChillerProgram111020_PlantOutsideAir,55151,PlantOutsideAir,2,27,,0.0,,,Y,Y,,,,73,,
