PROJECT_NAME,MainBlgVAVInternalAct,,,,,,,,,,,,,,,
VERSION_OF_REFERENCEFILE,1,,,,,,,,,,,,,,,
TIMESTAMP_OF_LAST_CHANGE,5/15/2020 10:30:08 AM,,,,,,,,,,,,,,,
AUTHOR_OF_LAST_CHANGE,micha,,,,,,,,,,,,,,,
VERSION_OF_LAYOUT,2.1,,,,,,,,,,,,,,,
#keyname,device-object-instance,object-name,object-type,object-instance,description,present-value-default,min-present-value,max-present-value,commandable,supports-COV,hi-limit,low-limit,state-text-reference,unit-code,vendor-specific-address,program-object-instance
MainBlgVAVInternalAct_BypassTime,1,BypassTime,2,47,Bypass Mode Override Time,30,,,Y,Y,,,,72,,
MainBlgVAVInternalAct_MaxOatDuctHeat,1,MaxOatDuctHeat,2,48,Maximum Outside Air Temperature for Duct Heater,90,,,Y,Y,,,,64,,
MainBlgVAVInternalAct_MaxOatPerimHeat,1,MaxOatPerimHeat,2,49,Maximum Outside Air Temperature for Perimeter Heat,65,,,Y,Y,,,,64,,
MainBlgVAVInternalAct_EffectSP,1,EffectSP,2,50,Effective Space Temperature Setpoint,0,,,N,Y,,,,64,,
MainBlgVAVInternalAct_OccupancyCmd,1,OccupancyCmd,19,1,Occupancy Command,,,,Y,Y,,,3,,,
MainBlgVAVInternalAct_DamperReq,1,DamperReq,2,57,Damper Request for Static Pressure Reset,0,,,N,Y,,,,95,,
MainBlgVAVInternalAct_ComSensorSpOffset,1,ComSensorSpOffset,2,58,Communicating Sensor Sp Offset,0,,,N,Y,,,,120,,
MainBlgVAVInternalAct_SpOffsetLimit,1,SpOffsetLimit,2,59,Setpoint Offset Limits,2,,,Y,Y,,,,120,,
MainBlgVAVInternalAct_ComSensorMinCoolSP,1,ComSensorMinCoolSP,2,75,Communicating Sensor Minimum Cooling Setpoint,67.5,,,Y,Y,,,,64,,
MainBlgVAVInternalAct_ComSensorMaxCoolSP,1,ComSensorMaxCoolSP,2,76,Communicating Sensor Maximum Cooling Setpoint,80,,,Y,Y,,,,64,,
MainBlgVAVInternalAct_ComSensorMinHeatSP,1,ComSensorMinHeatSP,2,77,Communicating Sensor Minimum Heating Setpoint,60,,,Y,Y,,,,64,,
MainBlgVAVInternalAct_ComSensorMaxHeatSP,1,ComSensorMaxHeatSP,2,78,Communicating Sensor Maximum Heating Setpoint,75,,,Y,Y,,,,64,,
MainBlgVAVInternalAct_SleepTime,1,SleepTime,2,79,EC-Smart-Comfort Sleep Time,0,,,Y,Y,,,,73,,
MainBlgVAVInternalAct_SpaceTempErrAlmSp,1,SpaceTempErrAlmSp,2,83,VPACC Space Temperature Alarm Setpoint,500,,,Y,Y,,,,120,,
MainBlgVAVInternalAct_AirFlowErrAlmSp,1,AirFlowErrAlmSp,2,85,VPACC Flow Alarm Setpoint,900,,,Y,Y,,,,84,,
MainBlgVAVInternalAct_DischTempErrAlmSp,1,DischTempErrAlmSp,2,87,VPACC Discharge Temperature Alarm Setpoint,500,,,Y,Y,,,,120,,
MainBlgVAVInternalAct_Elevation,1,Elevation,2,99,,0,,,Y,Y,,,,31,,
MainBlgVAVInternalAct_AppVersion,1,AppVersion,2,100,,0,,,N,Y,,,,95,,
MainBlgVAVInternalAct_DamperDir,1,DamperDir,5,11,Damper Direction (Off = CW),0,,,Y,Y,,,27,,,
MainBlgVAVInternalAct_CommFailure,1,CommFailure,5,13,Communication Failure from AHU,0,,,N,Y,,,26,,,
MainBlgVAVInternalAct_DuctInTempValid,1,DuctInTempValid,5,14,Duct Inlet Temperature Validation for PxPages,0,,,N,Y,,,26,,,
MainBlgVAVInternalAct_DisHtCl_WrmUp,1,DisHtCl_WrmUp,5,15,Disable Heat & Cool during Mrng Warm Up & Night Purge,0,,,N,Y,,,26,,,
MainBlgVAVInternalAct_HotWaterReheat,1,HotWaterReheat,5,18,Hot Water Reheat ,0,,,N,Y,,,26,,,
MainBlgVAVInternalAct_DualMaximum,1,DualMaximum,5,19,Dual Maximum Control of Air Flow Setpoints,0,,,N,Y,,,26,,,
MainBlgVAVInternalAct_InitDamper,1,InitDamper,5,49,Initialize Internal Actuator,0,,,N,Y,,,26,,,
MainBlgVAVInternalAct_DoZeroCalib,1,DoZeroCalib,5,50,Do Zero Calibration for Internal Flow Sensor,0,,,N,Y,,,26,,,
MainBlgVAVInternalAct_HVACModeCmd,1,HVACModeCmd,19,2,HVAC Mode Command,,,,Y,Y,,,6,,,
MainBlgVAVInternalAct_HeatPriority,1,HeatPriority,19,13,Duct vs Perimeter Heat Priority,,,,N,Y,,,9,,,
MainBlgVAVInternalAct_HVACModeStatus,1,HVACModeStatus,19,14,HVAC Mode Status,,,,N,Y,,,6,,,
MainBlgVAVInternalAct_OccupancyStatus,1,OccupancyStatus,19,15,Occupancy Status,,,,N,Y,,,3,,,
MainBlgVAVInternalAct_OccDetection,1,OccDetection,19,17,Occupancy Detection,,,,N,Y,,,11,,,
MainBlgVAVInternalAct_ComSensorLock,1,ComSensorLock,19,19,Communicating Sensor Lock,,,,N,Y,,,13,,,
MainBlgVAVInternalAct_HeatStgs,1,HeatStgs,19,28,Number of Heat Stages,,,,Y,Y,,,14,,,
MainBlgVAVInternalAct_DuctHeatStgs,1,DuctHeatStgs,19,29,Number of Duct Heaters,,,,N,Y,,,14,,,
MainBlgVAVInternalAct_EcoVueCoolStatus,1,EcoVueCoolStatus,19,30,EcoVue Actual Cooling Icon,,,,N,Y,,,15,,,
MainBlgVAVInternalAct_EcoVueHeatStatus,1,EcoVueHeatStatus,19,31,EcoVue Actual Heating Icon,,,,N,Y,,,15,,,
ainBlgVAVInternalAct_BalancingOvr,1,BalancingOvr,19,39,Balancing Override,,,,z,Y,,,17,,,
MainBlgVAVInternalAct_ComSensor1_SpaceTemp,1,ComSensor 1_SpaceTemp,0,5001,ComSensor 1 SpaceTemp,,,,N,Y,,,,64,,
MainBlgVAVInternalAct_Schedule1,1,Schedule 1,17,1,,,,,N,N,,,,,,
MainBlgVAVInternalAct_VAVDifferentialPressure,1,VAV Differential Pressure,0,5,,,,,N,Y,,,,58,,
